,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(45.2k Reviews),Public,"Mumbai,Maharashtra + 253 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(29.6k Reviews),Public,"Dublin,Dublin + 137 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(26.8k Reviews),Private,Teaneck. New Jersey. + 88 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(33.4k Reviews),Public,"Mumbai,Maharashtra + 1019 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(25.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 261 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(34.9k Reviews),Public,"Mumbai,Maharashtra + 1154 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(21.8k Reviews),Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(21.4k Reviews),Public,"Noida,Uttar Pradesh + 162 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(25.5k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 120 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.8,(19.7k Reviews),Public,"Pune,Maharashtra + 195 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(20k Reviews),Private,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.6k Reviews),Public,"Mumbai,Maharashtra + 1023 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.6k Reviews),Public,"Armonk,New York + 115 more",111 years old,50k-1 Lakh Employees (India)
13,Concentrix Corpo...,4.1,(14.2k Reviews),Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
14,Amazon,4.2,(14.2k Reviews),Private,"Seattle,Washington + 334 more",28 years old,1 Lakh+ Employees (India)
15,Larsen & Toubro ...,4.1,(19.9k Reviews),Public,"Mumbai,Maharashtra + 512 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.7k Reviews),Public,"Navi Mumbai,Maharashtra + 931 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13.2k Reviews),Public,"Gandhinagar,Gujrat + 555 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.4k Reviews),Private,"Ahmedabad,Gujrat + 737 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(10k Reviews),Private,Paris + 116 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.8k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(38.9k Reviews),Public,"Navi Mumbai,Maharashtra + 440 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12k Reviews),Public,"Gurgaon/Gurugram,Haryana + 480 more",27 years old,5k-10k Employees (India)
23,Deloitte,4.1,(8.6k Reviews),Private,"New York,New York + 131 more",177 years old,10k-50k Employees (India)
24,Tata Motors,4.1,(8.5k Reviews),Public,"Pune,Maharashtra + 379 more",77 years old,50k-1 Lakh Employees (India)
25,Reliance Retail,4.1,(13.4k Reviews),Private,"Navi Mumbai,Maharashtra + 555 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(19.8k Reviews),Public,"Mumbai,Maharashtra + 396 more",77 years old,10k-50k Employees (India)
27,WNS,3.7,(6.5k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
28,IndusInd Bank,3.8,(6.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 539 more",28 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.5k Reviews),Public,"Minato,Tokyo + 56 more",31 years old,10k-50k Employees (India)
30,Flipkart,4.2,(10.3k Reviews),Public,"Bangalore,Karnataka + 401 more",15 years old,10k-50k Employees (India)
31,Hinduja Global S...,4.0,(5.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
32,Ernst & Young,3.8,(5.6k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
33,Maruti Suzuki,4.1,(5.5k Reviews),Public,"New Delhi,Delhi + 369 more",39 years old,10k-50k Employees (India)
34,Infosys BPM,4.0,(5.4k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",20 years old,10k-50k Employees (India),
35,Samsung,4.1,(7.8k Reviews),Private,"Ridgefield Park,NJ + 419 more",84 years old,50k-1 Lakh Employees (India)
36,HSBC,4.1,(5.6k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
37,BYJU'S,3.6,(9.5k Reviews),Private,"Bangalore,Karnataka + 154 more",11 years old,1k-5k Employees (India)
38,Ericsson,4.3,(5.2k Reviews),Private,"Stockholm,Stockholm County + 129 more",146 years old,10k-50k Employees (India)
39,Bajaj Finserv,4.1,(12.9k Reviews),Public,"Pune,Maharashtra + 631 more",15 years old,10k-50k Employees (India)
40,Conneqt Business...,3.8,(4.7k Reviews),Private,"Mumbai,Maharashtra + 146 more",20 years old,10k-50k Employees (India)
41,IDFC FIRST Bank,4.0,(4.7k Reviews),Public,"Mumbai,Maharashtra + 355 more",4 years old,10k-50k Employees (India)
42,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 127 more",36 years old,10k-50k Employees (India)
43,Startek,3.5,(4.6k Reviews),Public,"Mumbai,Maharashtra + 51 more",5 years old,5k-10k Employees (India)
44,Mphasis,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 41 more",22 years old,1k-5k Employees (India)
45,Jana Small Finan...,3.9,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 302 more",16 years old,10k-50k Employees (India)
46,Sutherland Globa...,3.9,(4.9k Reviews),Private,"Pittsford,New York + 41 more",36 years old,10k-50k Employees (India)
47,Cipla Pharmaceut...,4.1,(4.5k Reviews),Public,"Mumbai,Maharashtra + 183 more",87 years old,10k-50k Employees (India)
48,Yes Bank,4.0,(4.3k Reviews),Public,"Mumbai,Maharashtra + 347 more",18 years old,10k-50k Employees (India)
49,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 395 more",22 years old,10k-50k Employees (India)
50,Bajaj Allianz Li...,4.2,(4.3k Reviews),Private,Pune + 425 more,21 years old,10k-50k Employees (India)
51,Asian Paints,4.3,(4.8k Reviews),Public,"Mumbai,Maharashtra + 328 more",80 years old,10k-50k Employees (India)
52,Lupin,4.2,(4.2k Reviews),Public,"Mumbai,Maharashtra + 127 more",54 years old,10k-50k Employees (India)
53,NTT DATA,4.1,(8k Reviews),Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
54,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 262 more",127 years old,1 Lakh+ Employees (India)
55,Udaan,4.2,(4k Reviews),Private,"Bangalore,Karnataka + 296 more",6 years old,10k-50k Employees (India)
56,EXL Service,3.9,(5k Reviews),Private,"New York City,New York + 32 more",23 years old,10k-50k Employees (India)
57,HDFC Life,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 391 more",22 years old,10k-50k Employees (India)
58,Home Credit Fina...,4.2,(3.8k Reviews),Private,Gurugram + 100 more,10 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
60,PwC,3.8,(3.7k Reviews),Partnership,London + 57 more,24 years old,5k-10k Employees (India)
61,Bajaj Finance,4.2,(3.6k Reviews),Private,"Pune,Maharashtra + 588 more",35 years old,10k-50k Employees (India)
62,Zydus Cadila,4.1,(4.7k Reviews),Public,"Ahmedabad, India + 131 more",70 years old,10k-50k Employees (India)
63,Hindustan Unilev...,4.3,(5.8k Reviews),Public,"Mumbai,Maharashtra + 342 more",89 years old,10k-50k Employees (India)
64,UltraTech Cement,4.3,(3.9k Reviews),Public,"Mumbai,Maharashtra + 324 more",39 years old,10k-50k Employees (India)
65,Ujjivan Small Fi...,4.1,(3.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 375 more",5 years old,10k-50k Employees (India)
66,ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 219 more",47 years old,10k-50k Employees (India)
67,Hewlett-Packard ...,4.3,(5k Reviews),Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
68,OPPO,4.0,(3.7k Reviews),Public,"Dongguan,Guangdong + 307 more",18 years old,10k-50k Employees (India)
69,Paytm,3.7,(4.3k Reviews),Public,Noida + 228 more,12 years old,10k-50k Employees (India)
70,Shapoorji Pallon...,4.3,(5.2k Reviews),Private,"Mumbai,Maharashtra + 133 more",157 years old,5k-10k Employees (India)
71,IIFL,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 445 more",27 years old,5k-10k Employees (India)
72,KPMG,3.8,(3.4k Reviews),Partnership,New York + 49 more,35 years old,10k-50k Employees (India)
73,Mindtree,4.1,(3.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",23 years old,10k-50k Employees (India)
74,JP Morgan Chase,4.2,(3.3k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
75,Ashok Leyland,4.1,(4k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
76,Shriram Transpor...,4.2,(5.2k Reviews),Public,"Mumbai,Maharashtra + 641 more",43 years old,10k-50k Employees (India)
77,Mahindra & Mahin...,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 545 more",31 years old,10k-50k Employees (India)
78,Sun Pharmaceutic...,4.1,(3.8k Reviews),Public,Mumbai + 139 more,39 years old,10k-50k Employees (India)
79,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
80,Aurobindo Pharma,4.1,(3.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 50 more",36 years old,1k-5k Employees (India)
81,Vivo,4.1,(3.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 321 more",13 years old,5k-10k Employees (India)
82,Apollo Hospitals,4.1,(5.1k Reviews),Public,"San Francisco,California + 162 more",39 years old,50k-1 Lakh Employees (India)
83,Reliance Communi...,4.0,(3.6k Reviews),Public,"Navi Mumbai,Maharashtra + 363 more",20 years old,10k-50k Employees (India)
84,Fidelity Nationa...,4.1,(3.3k Reviews),Private,"Jacksonville,Florida + 32 more",17 years old,10k-50k Employees (India)
85,Future Group,4.2,(10.1k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
86,Wells Fargo Indi...,4.3,(3.1k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
87,Siemens,4.2,(3.2k Reviews),Public,"Munich,Bavaria + 103 more",30 years old,10k-50k Employees (India)
88,Nokia,4.4,(3.2k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
89,Bandhan Bank,3.9,(3.3k Reviews),Public,"Kolkata,West Bengal + 503 more",21 years old,10k-50k Employees (India)
90,eClerx,3.7,(3k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
91,Max Life Insuran...,4.2,(3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 272 more",22 years old,10k-50k Employees (India)
92,Delhivery,4.2,(2.9k Reviews),Private,"Delhi,NCT + 431 more",11 years old,10k-50k Employees (India)
93,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 38 more,22 years old,1 Lakh+ Employees (India),
94,TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 231 more",43 years old,5k-10k Employees (India)
95,AU Small Finance...,4.1,(3.9k Reviews),Private,"Jaipur,Rajasthan + 280 more",26 years old,10k-50k Employees (India)
96,Cyient,3.7,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
97,Oyo Rooms,3.6,(3.1k Reviews),Private,"Gurgaon,Haryana + 102 more",9 years old,1k-5k Employees (India)
98,Tata Projects,4.2,(2.9k Reviews),Public,"Mumbai,Maharashtra + 191 more",43 years old,5k-10k Employees (India)
99,First Source,4.0,(2.9k Reviews),Public,"Mumbai,Maharashtra + 44 more",21 years old,5k-10k Employees (India)
100,JLL,4.3,(2.9k Reviews),Private,"Mumbai,Maharashtra + 59 more",25 years old,10k-50k Employees (India)
101,Oracle,3.9,(3.6k Reviews),Public,"Austin,Texas + 31 more",45 years old,10k-50k Employees (India)
102,Hero MotoCorp,4.3,(2.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 259 more",38 years old,5k-10k Employees (India)
103,JSW Steel,3.9,(4.2k Reviews),Public,"Mumbai,Maharashtra + 87 more",40 years old,10k-50k Employees (India)
104,Hexaware Technol...,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
105,TATA Steel,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 119 more",115 years old,10k-50k Employees (India)
106,Hyundai Motor,4.1,(3.7k Reviews),Private,Seoul + 218 more,55 years old,5k-10k Employees (India)
107,Bosch,4.3,(3.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
108,JustDial,3.5,(2.7k Reviews),Public,"Mumbai,Maharashtra + 123 more",26 years old,10k-50k Employees (India)
109,Atos Syntel,3.8,(4.4k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
110,iEnergizer,3.5,(2.6k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
111,Megha Engineerin...,4.2,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 188 more",33 years old,1k-5k Employees (India)
112,Quess,3.9,(7.7k Reviews),Public,Bangalore + 304 more,15 years old,10k-50k Employees (India)
113,Viatris,4.3,(2.5k Reviews),"Canonsburg,Pennsylvania + 61 more",61 years old,1k-5k Employees (India),
114,Dell,4.3,(3.5k Reviews),Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India)
115,Godrej & Boyce M...,3.9,(2.5k Reviews),Private,"Mumbai,Maharashtra + 121 more",125 years old,10k-50k Employees (India)
116,BNY Mellon,4.2,(2.5k Reviews),Private,"New York City,New York + 9 more",18 years old,10k-50k Employees (India)
117,L&T Construction,4.2,(3.4k Reviews),Public,Chennai + 252 more,78 years old,10k-50k Employees (India)
118,Omega Healthcare,3.8,(2.5k Reviews),Private,Florida + 26 more,18 years old,1k-5k Employees (India)
119,Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 388 more,15 years old,10k-50k Employees (India)
120,SBI Cards & Paym...,3.8,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 229 more",24 years old,5k-10k Employees (India)
121,Cgi Group,4.2,(2.5k Reviews),Private,"Montreal,Quebec + 13 more",31 years old,10k-50k Employees (India)
122,UnitedHealth,4.2,(4.3k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
123,Aditya Birla Fas...,4.3,(2.8k Reviews),Private,Mumbai + 193 more,7 years old,10k-50k Employees (India)
124,Manappuram Finan...,4.0,(3.1k Reviews),Public,"Thrissur/Trichur,Kerala + 360 more",73 years old,10k-50k Employees (India)
125,D Mart,4.0,(2.3k Reviews),Private,"Mumbai,Maharashtra + 150 more",22 years old,5k-10k Employees (India)
126,IQVIA,4.2,(2.3k Reviews),Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
127,Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 265 more",11 years old,1k-5k Employees (India)
128,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 197 more",62 years old,1k-5k Employees (India)
129,Nagarjuna Constr...,4.2,(2.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 176 more",24 years old,1k-5k Employees (India)
130,Wipro Consumer ...,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 70 more",77 years old,1k-5k Employees (India)
131,CBRE,4.3,(2.3k Reviews),Private,"Los Angeles,California + 51 more",116 years old,10k-50k Employees (India)
132,Equitas Small Fi...,4.2,(2.3k Reviews),Private,"Chennai,Tamil Nadu + 285 more",15 years old,1k-5k Employees (India)
133,Royal Enfield,4.2,(2.3k Reviews),Private,"Gurgaon/Gurugram,Haryana + 227 more",67 years old,5k-10k Employees (India)
134,State Bank of In...,3.9,(2.2k Reviews),"Mumbai,Maharashtra + 332 more",216 years old,1 Lakh+ Employees (India),
135,JBM Group,4.1,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 72 more",39 years old,1k-5k Employees (India)
136,Nagarro,4.6,(2.2k Reviews),Private,"Munich,Bavaria + 29 more",26 years old,5k-10k Employees (India)
137,Bajaj Auto,4.1,(5.9k Reviews),Public,"Pune,Maharashtra + 196 more",77 years old,201-500 Employees (India)
138,ICICI Lombard Ge...,3.8,(2.2k Reviews),Public,"Mumbai,Maharashtra + 193 more",21 years old,5k-10k Employees (India)
139,Tata Communicati...,4.2,(3k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
140,Muthoot Fincorp,4.0,(2.2k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 408 more",135 years old,10k-50k Employees (India)
141,Amdocs,4.1,(2.2k Reviews),Private,"Chesterfield,Missouri + 12 more",40 years old,10k-50k Employees (India)
142,UST,4.1,(2.3k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
143,Flex,4.2,(2.2k Reviews),Private,San Jose + 36 more,53 years old,10k-50k Employees (India)
144,Bosch Global Sof...,4.2,(2.2k Reviews),Private,Gerlingen + 19 more,32 years old,10k-50k Employees (India)
145,LG Electronics,4.1,(2.2k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
146,John Deere,4.4,(2.3k Reviews),Private,"Moline,Illinois + 94 more",21 years old,1k-5k Employees (India)
147,Motherson Sumi S...,3.9,(3.5k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
148,L&T Financial Se...,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 371 more",28 years old,10k-50k Employees (India)
149,Sodexo,4.1,(2.2k Reviews),Private,Issy Les Moulineaux + 105 more,14 years old,10k-50k Employees (India)
150,Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 100 more",119 years old,5k-10k Employees (India)
151,Hetero Drugs,4.0,(2.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
152,Whitehat jr,3.8,(2.1k Reviews),Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India)
153,Ecom Express,4.3,(2.1k Reviews),Private,"Gurgaon,Haryana + 450 more",10 years old,10k-50k Employees (India)
154,Alembic Pharmace...,4.2,(2.1k Reviews),Public,"Vadodara/Baroda,Gujrat + 117 more",115 years old,5k-10k Employees (India)
155,Indiamart Interm...,3.8,(2.1k Reviews),Private,"Noida,Uttar Pradesh + 96 more",26 years old,10k-50k Employees (India)
156,KEC Internationa...,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 198 more",77 years old,5k-10k Employees (India)
157,SBI Life Insuran...,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 406 more",21 years old,10k-50k Employees (India)
158,Abbott Healthcar...,4.1,(3.4k Reviews),Public,"Illinois City,Illinois + 138 more",31 years old,10k-50k Employees (India)
159,Cholamandalam In...,4.3,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 462 more",44 years old,1k-5k Employees (India)
160,Schneider Electr...,4.2,(3.7k Reviews),Private,Paris + 64 more,23 years old,10k-50k Employees (India)
161,Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
162,Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 121 more",98 years old,1k-5k Employees (India)
163,BigBasket,4.2,(2.1k Reviews),Private,"Bangalore,Karnataka + 71 more",11 years old,5k-10k Employees (India)
164,Thermax,4.3,(2.3k Reviews),Public,"Pune,Maharashtra + 117 more",42 years old,1k-5k Employees (India)
165,Subros,4.0,(2k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India)
166,GlobalLogic,4.0,(2k Reviews),Private,"San Jose,California + 25 more",22 years old,5k-10k Employees (India)
167,Muthoot Group,3.7,(4.4k Reviews),Public,"Wedel,Schleswig-holstein + 320 more",135 years old,1k-5k Employees (India)
168,Intas Pharmaceut...,4.3,(2k Reviews),Private,"Ahmedabad,Gujrat + 95 more",22 years old,5k-10k Employees (India)
169,Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
170,Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
171,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
172,Muthoot Finance,3.6,(2k Reviews),Public,"Kochi/Cochin,Kerala + 380 more",83 years old,10k-50k Employees (India)
173,NatWest Group,4.1,(1.9k Reviews),Chennai + 18 more,10k-50k Employees (India),,
174,VE Commercial Ve...,4.1,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 102 more",14 years old,1k-5k Employees (India)
175,Varun Beverages,4.0,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 184 more",27 years old,5k-10k Employees (India)
176,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
177,Cummins,4.4,(1.9k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),
178,Atos,3.8,(6.3k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India)
179,Macleods Pharmac...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
180,Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
181,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 83 more",27 years old,5k-10k Employees (India)
182,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 118 more",67 years old,5k-10k Employees (India)
183,CMS IT Services,3.2,(1.9k Reviews),Private,"Bangalore,Karnataka + 113 more",8 years old,5k-10k Employees (India)
184,Glenmark Pharmac...,4.2,(1.9k Reviews),Public,"Mumbai,Maharashtra + 106 more",45 years old,5k-10k Employees (India)
185,American Express,4.4,(2k Reviews),Private,"New York City,New York + 33 more",172 years old,10k-50k Employees (India)
186,DTDC Express,4.0,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",32 years old,1k-5k Employees (India)
187,Bel,4.2,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",68 years old,5k-10k Employees (India)
188,ABB Group,4.1,(1.9k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
189,Virtusa Consulti...,3.8,(1.9k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
190,Optum,4.1,(1.9k Reviews),Private,Minnesota + 19 more,45 years old,50k-1 Lakh Employees (India)
191,Deutsche Bank,4.3,(1.9k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
192,Randstad,4.1,(1.9k Reviews),Private,"Chennai,Tamil Nadu + 197 more",30 years old,1k-5k Employees (India)
193,Alkem Laboratori...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 115 more",49 years old,10k-50k Employees (India)
194,Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 201 more",13 years old,1k-5k Employees (India)
195,Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 161 more",23 years old,5k-10k Employees (India)
196,Standard Charter...,4.2,(4.3k Reviews),Private,London + 57 more,53 years old,5k-10k Employees (India)
197,Havells,4.2,(2k Reviews),Public,"Noida,Uttar Pradesh + 118 more",39 years old,5k-10k Employees (India)
198,Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 376 more",22 years old,10k-50k Employees (India)
199,Swiggy,4.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 128 more",8 years old,1k-5k Employees (India)
200,Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 166 more",63 years old,5k-10k Employees (India)
201,KocharTech,4.5,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,501-1k Employees (India)
202,Ipca Laboratorie...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 97 more",73 years old,5k-10k Employees (India)
203,DCB Bank,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 232 more",92 years old,5k-10k Employees (India)
204,Bajaj Electrical...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 161 more",84 years old,5k-10k Employees (India)
205,Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 174 more",63 years old,10k-50k Employees (India)
206,24/7 Customer,3.6,(1.7k Reviews),Private,"San Jose,California + 19 more",22 years old,5k-10k Employees (India)
207,Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 120 more",4 years old,5k-10k Employees (India)
208,Conduent,3.7,(1.7k Reviews),Private,"Florham Park,New Jersey + 19 more",5 years old,5k-10k Employees (India)
209,Future Retail,4.2,(4.4k Reviews),Public,"San Francisco,California + 184 more",35 years old,10k-50k Employees (India)
210,Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 Employees (India)
211,Hindalco Industr...,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 63 more",64 years old,10k-50k Employees (India)
212,Maersk,4.4,(1.7k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
213,MRF Tyres,3.7,(1.8k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India)
214,PepsiCo,4.1,(1.8k Reviews),Private,"Harrison,New York + 199 more",33 years old,1 Lakh+ Employees (India)
215,State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
216,Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 88 more",70 years old,5k-10k Employees (India)
217,Tractors and Far...,4.2,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 131 more",62 years old,5k-10k Employees (India)
218,Huawei Technolog...,3.8,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 87 more",20 years old,1k-5k Employees (India)
219,CARS24.com,3.8,(1.7k Reviews),Private,"Gurgaon,Haryana + 131 more",7 years old,5k-10k Employees (India)
220,Team Lease,4.1,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 186 more",6 years old,1k-5k Employees (India)
221,Torrent Pharmace...,4.1,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 86 more",51 years old,5k-10k Employees (India)
222,Vishal Mega Mart,3.9,(1.7k Reviews),Private,"Ahmedabad,Gujrat + 234 more",14 years old,5k-10k Employees (India)
223,RSPL Group,4.1,(1.7k Reviews),Private,"Mumbai,Maharashtra + 138 more",35 years old,1k-5k Employees (India)
